include,discipline,deliverable,activity_id,activity_type,activity_name,custom_activity_name,original_duration,custom_duration,budgeted_hours,custom_hours,owner,status,lead_notes
yes,Civil/Structural,Demo Sketches,1607_31140,Develop,Develop - Demo Sketches,,25,,68,,,Not Started,
yes,Civil/Structural,Platform Sketches,1607_31440,Develop,Develop - Platform Sketches,,16,,72,,,Not Started,
yes,Civil/Structural,Platform Calcs,1607_31450,Develop,Develop - Platform Calcs,,16,,40,,,Not Started,
yes,Process,P&IDs/Line Lists/Tie-In List,1607_31180,Develop,Develop - P&IDs/Line Lists/Tie-In List,,10,,144,,,Not Started,
yes,Process,P&IDs/LL/TIL for Initial Design Review,1607_31230,Draft,Draft - P&IDs/LL/TIL for Initial Design Review,,5,,8,,,Not Started,
yes,Process,Initial P&ID Review,1607_31240,Perform,Perform - Initial P&ID Review,,1,,16,,,Not Started,
yes,Process,P&ID Design Review Comments,1607_31250,Incorporate,Incorporate - P&ID Design Review Comments,,1,,14,,,Not Started,
yes,Process,To PA's P&IDS IFR,1607_31260,Perform,Perform - To PA's P&IDS IFR,,1,,1,,,Not Started,
yes,Process,P&IDs/LL/TIL for Review,1607_31270,Issue,Issue - P&IDs/LL/TIL for Review,,0,,0,,,Not Started,
yes,Process,P&IDs/LL/TIL,1607_31280,BP Review,BP Review - P&IDs/LL/TIL,,4,,0,,,Not Started,
yes,Process,P&IDs/LL/TIL BP Review Meeting,1607_31300,Perform,Perform - P&IDs/LL/TIL BP Review Meeting,,1,,16,,,Not Started,
yes,Process,BP P&IDs/LL/TIL Review Comments,1607_31310,Incorporate,Incorporate - BP P&IDs/LL/TIL Review Comments,,3,,14,,,Not Started,
yes,Process,P&ID for Validation,1607_31320,Facilitator Review,Facilitator Review - P&ID for Validation,,7,,2,,,Not Started,
yes,Process,P&ID Validation Meeting,1607_31330,Perform,Perform - P&ID Validation Meeting,,1,,16,,,Not Started,
yes,Process,P&ID Validation Meeting,1607_31390,Incorporate Comments,Incorporate Comments - P&ID Validation Meeting,,3,,14,,,Not Started,
yes,Process,To PA's  <IFH>,1607_31400,Perform,Perform - To PA's  <IFH>,,1,,1,,,Not Started,
yes,Process,P&IDs/LL/TIL for HAZOP,1607_31410,Issue,Issue - P&IDs/LL/TIL for HAZOP,,0,,0,,,Not Started,
yes,Process,P&IDs/LL/TIL for HAZOP,1607_31420,Client Review,Client Review - P&IDs/LL/TIL for HAZOP,,2,,0,,,Not Started,
yes,Process,PHA Meeting,1607_31480,Perform,Perform - PHA Meeting,,1,,18,,,Not Started,
yes,Process,PHA Comments,1607_31510,Incorporate,Incorporate - PHA Comments,,5,,14,,,Not Started,
yes,Process,MOC Log,1607_31620,Review,Review - MOC Log,,1,,2,,,Not Started,
yes,Process,To PA's Doc Control Review QA/QC,1607_31630,Perform,Perform - To PA's Doc Control Review QA/QC (IFD),,1,,1,,,Not Started,
yes,Process,P&IDs/LL/TIL - IFE/IFD,1607_31640,Issue,Issue - P&IDs/LL/TIL - IFE/IFD,,0,,0,,,Not Started,
yes,Project Services,Execute Project Services Estimate,1607_31700,Develop,Develop - Execute Project Services Estimate (PSE),,10,,25,,,Not Started,
yes,Project Services,Execute APP,1607_31710,Develop,Develop - Execute APP,,10,,26,,,Not Started,
yes,Project Services,Execute APP for Review,1607_31780,Issue,Issue - Execute APP for Review,,0,,0,,,Not Started,
yes,Project Services,Execute APP,1607_31790,Review,Review - Execute APP (BP),,10,,0,,,Not Started,
yes,Project Services,Execute APP,1607_31850,Approved,Approved - Execute APP,,0,,0,,,Not Started,
yes,Project Services,MTOs & Estimate Inputs,1607_31690,Develop,Develop - MTOs & Estimate Inputs,,5,,32,,,Not Started,
yes,Project Services,End of  Estimate & Basis,1607_31730,Develop,Develop - End of FEL 3 Estimate & Basis,,8,,30,,,Not Started,
yes,Project Services,End of  Estimate & Basis for bp Review,1607_31810,Issue,Issue - End of FEL 3 Estimate & Basis for bp Review,,0,,0,,,Not Started,
yes,Project Services,End of  Estimate & Basis,1607_31820,bp Review,bp Review - End of FEL 3 Estimate & Basis,,5,,0,,,Not Started,
yes,Project Services,End of  Cost Estimate Review,1607_31860,Perform,Perform - End of FEL 3 Cost Estimate Review,,1,,4,,,Not Started,
yes,Project Services,End of  Estimate Review Comments,1607_31870,Incorporate,Incorporate - End of FEL 3 Estimate Review Comments,,6,,8,,,Not Started,
yes,Project Services,End of  Estimate & Basis for Approval,1607_31900,Issue,Issue - End of FEL 3 Estimate & Basis for Approval,,0,,0,,,Not Started,
yes,Project Services,End of  Estimate & Basis,1607_31910,bp Review,bp Review - End of FEL 3 Estimate & Basis,,5,,0,,,Not Started,
yes,Project Services,End of  Cost Estimate,1607_31940,Approved,Approved - End of FEL 3 Cost Estimate,,0,,0,,,Not Started,
yes,Project Services,End of  Schedule & Basis,1607_31740,Develop,Develop - End of FEL 3 Schedule & Basis,,3,,10,,,Not Started,
yes,Project Services,End of  Engineering Interactive Planning Session,1607_31750,Perform,Perform - End of FEL 3 Engineering Interactive Planning Session,,1,,7,,,Not Started,
yes,Project Services,End of  Schedule & Basis for bp Review,1607_31830,Issue,Issue - End of FEL 3 Schedule & Basis for bp Review,,0,,0,,,Not Started,
yes,Project Services,End of  Schedule & Basis,1607_31840,bp Review,bp Review - End of FEL 3 Schedule & Basis,,4,,0,,,Not Started,
yes,Project Services,End of  Schedule Review,1607_31880,Perform,Perform - End of FEL 3 Schedule Review (bp),,1,,2,,,Not Started,
yes,Project Services,End of  Review Comments,1607_31890,Incorporate,Incorporate - End of FEL 3 Review Comments,,6,,4,,,Not Started,
yes,Project Services,End of  Schedule & Basis for Approval,1607_31920,Issue,Issue - End of FEL 3 Schedule & Basis for Approval,,0,,0,,,Not Started,
yes,Project Services,End of  Schedule & Basis,1607_31930,Review,Review - End of FEL 3 Schedule & Basis,,5,,0,,,Not Started,
yes,Project Services,End of  Schedule,1607_31960,Approved,Approved - End of FEL 3 Schedule,,0,,0,,,Not Started,
yes,Engineering,DSP,1607_31950,Compile,Compile - FEL 3 DSP,,5,,5,,,Not Started,
yes,Engineering,DSP to bp PM,1607_31980,Issue,Issue - FEL 3 DSP to bp PM,,0,,0,,,Not Started,
yes,Engineering,bp PM  DSP Comments,1607_31990,Incorporate,Incorporate - bp PM FEL 3 DSP Comments,,2,,0,,,Not Started,
yes,Engineering,DSP to bp Program Lead,1607_32000,Issue,Issue - FEL 3 DSP to bp Program Lead,,0,,0,,,Not Started,
yes,Project Assurance,DSP by bp Program Lead,1607_32010,Review & Comment,Review & Comment - FEL 3 DSP by bp Program Lead,,7,,0,,,Not Started,
yes,Engineering,Program Lead  DSP Comments,1607_32020,Incorporate,Incorporate - Program Lead FEL 3 DSP Comments,,2,,0,,,Not Started,
yes,Engineering,DSP to bp Leadership,1607_32030,Issue,Issue - FEL 3 DSP to bp Leadership,,0,,0,,,Not Started,
yes,Project Assurance,DSP by bp Leadership,1607_32040,Review,Review - FEL 3 DSP by bp Leadership,,10,,0,,,Not Started,
yes,Engineering,DSP Sign-Off Meeting,1607_32050,Perform,Perform - FEL 3 DSP Sign-Off Meeting,,1,,0,,,Not Started,
yes,PMAC,DSP,1607_32060,Approved,Approved - FEL 3 DSP,,0,,0,,,Not Started,
yes,PMAC,AFC Funding,1607_32070,Receive,Receive - AFC Funding,,5,,0,,,Not Started,
